archetype_cluster,archetype_label,players,avg_overall,avg_age
5,Balanced all-rounders,5965,59.515842414082144,22.18105616093881
0,Ball-carrying creators,5572,74.42893036611629,25.213388370423548
2,Balanced all-rounders,5031,74.4293381037567,27.305505863645397
8,Balanced all-rounders,4950,75.48464646464646,26.083838383838383
9,Balanced all-rounders,4801,72.5409289731306,26.267652572380754
1,Balanced all-rounders,4567,66.098532953799,24.470768557039634
4,Goalkeepers,4387,68.69637565534534,27.12331889674037
7,Balanced all-rounders,4083,67.27994121969141,28.432280186137643
6,Balanced all-rounders,3809,70.59936991336309,25.192964032554475
3,Balanced all-rounders,3676,68.40043525571274,24.129216539717085
